staff_number,job_number,activity_type,allocation_pct
1001,J1001-1,Teaching,60
1001,J1001-1,Research,30
1001,J1001-1,Administration,10

1002,J1002-1,Research,90
1002,J1002-1,Administration,10

1003,J1003-1,Teaching,50
1003,J1003-1,Research,40
1003,J1003-1,Administration,10

1004,J1004-1,Teaching,80
1004,J1004-1,Administration,20

1005,J1005-1,Teaching,40
1005,J1005-1,Research,50
1005,J1005-1,Administration,10

1005,J1005-2,Research,100

1006,J1006-1,Administration,100

1007,J1007-1,Research,85
1007,J1007-1,Administration,15

1008,J1008-1,Teaching,55
1008,J1008-1,Research,35
1008,J1008-1,Administration,10

1009,J1009-1,Administration,100

1010,J1010-1,Research,80
1010,J1010-1,Administration,20

1011,J1011-1,Administration,100
